run_id,treat_none,treat_all,random,score,causal
0,45849,59868,47262,50216,50216
1,45574,59689,46932,49917,49917
2,45791,59891,47141,50232,50232
3,45726,59903,47157,50099,50099
4,45464,59913,46861,49779,49779
5,45609,59760,46962,49957,49957
6,45683,59826,47096,50050,50050
7,45767,59926,47169,50130,50130
8,45705,59941,46993,50091,50091
9,45649,59824,47070,50029,50029
10,45834,59971,47214,50241,50241
11,45733,59796,47032,50120,50120
12,45639,59773,47029,49946,49946
13,45714,59952,47109,50131,50131
14,45593,59933,47020,50002,50002
15,45743,59728,47156,50021,50021
16,45596,59667,46967,49949,49949
17,45770,60026,47111,50128,50128
18,45639,59726,47018,50039,50039
19,45770,59947,47190,50182,50182
20,45699,59767,47132,50057,50057
21,45491,59922,46948,49993,49993
22,45916,60151,47358,50231,50231
23,45812,59921,47219,50177,50177
24,45816,60026,47306,50220,50220
25,45886,60025,47286,50252,50252
26,45778,59837,47189,50152,50152
27,45510,59529,46869,49911,49911
28,45677,60165,47140,50098,50098
29,45689,59910,47160,50090,50090
30,45501,59726,46942,49855,49855
31,45862,60220,47329,50337,50337
32,45805,59823,47236,50128,50128
33,45959,60182,47288,50291,50291
34,45722,59876,47188,50159,50159
35,45966,60165,47448,50295,50295
36,45688,59863,47092,50150,50150
37,45974,60158,47349,50378,50378
38,45752,59990,47151,50148,50148
39,45655,59999,47019,50014,50014
40,45729,59774,47096,50165,50165
41,46102,60236,47509,50519,50519
42,45706,59924,47169,50057,50057
43,45674,59819,47126,50123,50123
44,45807,59960,47236,50237,50237
45,45870,59988,47243,50250,50250
46,45693,60119,47082,50122,50122
47,45683,59788,47114,50086,50086
48,45734,59966,47176,50127,50127
49,45725,59888,47149,50107,50107
50,45660,59852,47031,50059,50059
51,45568,59685,46924,49930,49930
52,45395,59606,46824,49792,49792
53,45688,59791,47128,50011,50011
54,45898,59871,47283,50280,50280
55,45816,59994,47188,50160,50160
56,45653,59941,47115,50090,50090
57,45716,59967,47217,50166,50166
58,45748,59874,47118,50145,50145
59,45572,59802,47012,49981,49981
60,45542,59679,46966,49948,49948
61,45474,59850,46892,49907,49907
62,45543,59767,46917,49960,49960
63,45595,59839,47003,49918,49918
64,45824,59968,47174,50222,50222
65,45614,59723,47038,49950,49950
66,45809,59826,47193,50193,50193
67,45543,59880,47018,49976,49976
68,45752,60017,47215,50158,50158
69,45684,59859,47126,50091,50091
70,45462,59746,46844,49963,49963
71,45806,59862,47279,50200,50200
72,45845,60081,47303,50266,50266
73,45712,59959,47133,50207,50207
74,45646,59946,47029,50018,50018
75,45755,59949,47091,50185,50185
