run_id,policy,outcome
0,treat_none,45849
0,score,50216
0,random,47262
0,causal,50216
0,treat_all,59868
1,treat_none,45574
1,random,46932
1,score,49917
1,causal,49917
1,treat_all,59689
2,random,47141
2,causal,50232
2,score,50232
2,treat_none,45791
2,treat_all,59891
3,treat_none,45726
3,random,47157
3,score,50099
3,treat_all,59903
3,causal,50099
4,causal,49779
4,random,46861
4,treat_none,45464
4,treat_all,59913
4,score,49779
5,score,49957
5,random,46962
5,treat_none,45609
5,treat_all,59760
5,causal,49957
6,causal,50050
6,treat_all,59826
6,score,50050
6,treat_none,45683
6,random,47096
7,random,47169
7,treat_all,59926
7,score,50130
7,treat_none,45767
7,causal,50130
8,treat_all,59941
8,treat_none,45705
8,causal,50091
8,random,46993
8,score,50091
9,causal,50029
9,treat_all,59824
9,score,50029
9,treat_none,45649
9,random,47070
10,treat_none,45834
10,random,47214
10,treat_all,59971
10,causal,50241
10,score,50241
11,score,50120
11,treat_none,45733
11,random,47032
11,causal,50120
11,treat_all,59796
12,treat_none,45639
12,random,47029
12,score,49946
12,causal,49946
12,treat_all,59773
13,random,47109
13,score,50131
13,causal,50131
13,treat_all,59952
13,treat_none,45714
14,random,47020
14,score,50002
14,treat_all,59933
14,causal,50002
14,treat_none,45593
15,causal,50021
15,score,50021
15,random,47156
15,treat_none,45743
15,treat_all,59728
16,score,49949
16,causal,49949
16,random,46967
16,treat_all,59667
16,treat_none,45596
17,causal,50128
17,treat_all,60026
17,random,47111
17,score,50128
17,treat_none,45770
18,score,50039
18,causal,50039
18,treat_all,59726
18,random,47018
18,treat_none,45639
19,treat_none,45770
19,causal,50182
19,random,47190
19,score,50182
19,treat_all,59947
20,treat_none,45699
20,causal,50057
20,random,47132
20,treat_all,59767
20,score,50057
21,treat_none,45491
21,random,46948
21,causal,49993
21,treat_all,59922
21,score,49993
22,score,50231
22,random,47358
22,treat_all,60151
22,treat_none,45916
22,causal,50231
23,causal,50177
23,treat_all,59921
23,random,47219
23,score,50177
23,treat_none,45812
24,causal,50220
24,treat_all,60026
24,score,50220
24,random,47306
24,treat_none,45816
25,score,50252
25,treat_none,45886
25,random,47286
25,causal,50252
25,treat_all,60025
26,treat_none,45778
26,score,50152
26,random,47189
26,causal,50152
26,treat_all,59837
27,treat_none,45510
27,score,49911
27,random,46869
27,causal,49911
27,treat_all,59529
28,random,47140
28,score,50098
28,treat_none,45677
28,causal,50098
28,treat_all,60165
29,treat_all,59910
29,random,47160
29,treat_none,45689
29,causal,50090
29,score,50090
30,treat_all,59726
30,causal,49855
30,random,46942
30,treat_none,45501
30,score,49855
31,score,50337
31,treat_none,45862
31,treat_all,60220
31,causal,50337
31,random,47329
32,treat_all,59823
32,causal,50128
32,score,50128
32,treat_none,45805
32,random,47236
33,treat_all,60182
33,score,50291
33,random,47288
33,causal,50291
33,treat_none,45959
34,treat_all,59876
34,random,47188
34,treat_none,45722
34,causal,50159
34,score,50159
35,treat_all,60165
35,score,50295
35,random,47448
35,causal,50295
35,treat_none,45966
36,treat_all,59863
36,score,50150
36,causal,50150
36,random,47092
36,treat_none,45688
37,treat_all,60158
37,random,47349
37,score,50378
37,treat_none,45974
37,causal,50378
38,causal,50148
38,treat_none,45752
38,treat_all,59990
38,score,50148
38,random,47151
39,score,50014
39,treat_all,59999
39,treat_none,45655
39,causal,50014
39,random,47019
40,treat_all,59774
40,treat_none,45729
40,random,47096
40,causal,50165
40,score,50165
41,treat_none,46102
41,treat_all,60236
41,causal,50519
41,score,50519
41,random,47509
42,treat_none,45706
42,score,50057
42,causal,50057
42,random,47169
42,treat_all,59924
43,treat_all,59819
43,random,47126
43,treat_none,45674
43,causal,50123
43,score,50123
44,random,47236
44,treat_none,45807
44,causal,50237
44,score,50237
44,treat_all,59960
45,causal,50250
45,treat_none,45870
45,score,50250
45,random,47243
45,treat_all,59988
46,treat_all,60119
46,score,50122
46,treat_none,45693
46,random,47082
46,causal,50122
47,score,50086
47,treat_none,45683
47,treat_all,59788
47,random,47114
47,causal,50086
48,random,47176
48,score,50127
48,treat_none,45734
48,treat_all,59966
48,causal,50127
49,treat_none,45725
49,treat_all,59888
49,score,50107
49,causal,50107
49,random,47149
50,random,47031
50,causal,50059
50,score,50059
50,treat_all,59852
50,treat_none,45660
51,causal,49930
51,treat_none,45568
51,random,46924
51,treat_all,59685
51,score,49930
52,treat_none,45395
52,score,49792
52,treat_all,59606
52,causal,49792
52,random,46824
53,treat_none,45688
53,random,47128
53,score,50011
53,causal,50011
53,treat_all,59791
54,random,47283
54,treat_all,59871
54,causal,50280
54,treat_none,45898
54,score,50280
55,random,47188
55,causal,50160
55,treat_none,45816
55,treat_all,59994
55,score,50160
56,treat_none,45653
56,random,47115
56,causal,50090
56,treat_all,59941
56,score,50090
57,random,47217
57,score,50166
57,causal,50166
57,treat_all,59967
57,treat_none,45716
58,causal,50145
58,score,50145
58,treat_all,59874
58,random,47118
58,treat_none,45748
59,treat_none,45572
59,score,49981
59,treat_all,59802
59,random,47012
59,causal,49981
60,treat_none,45542
60,score,49948
60,treat_all,59679
60,causal,49948
60,random,46966
61,score,49907
61,random,46892
61,causal,49907
61,treat_all,59850
61,treat_none,45474
62,score,49960
62,causal,49960
62,random,46917
62,treat_all,59767
62,treat_none,45543
63,score,49918
63,random,47003
63,treat_none,45595
63,treat_all,59839
63,causal,49918
64,treat_none,45824
64,score,50222
64,random,47174
64,causal,50222
64,treat_all,59968
65,random,47038
65,causal,49950
65,treat_none,45614
65,score,49950
65,treat_all,59723
66,treat_all,59826
66,causal,50193
66,random,47193
66,treat_none,45809
66,score,50193
67,treat_all,59880
67,treat_none,45543
67,causal,49976
67,random,47018
67,score,49976
68,score,50158
68,treat_none,45752
68,random,47215
68,treat_all,60017
68,causal,50158
69,treat_all,59859
69,causal,50091
69,score,50091
69,random,47126
69,treat_none,45684
70,score,49963
70,random,46844
70,causal,49963
70,treat_none,45462
70,treat_all,59746
71,score,50200
71,treat_none,45806
71,causal,50200
71,random,47279
71,treat_all,59862
72,score,50266
72,treat_none,45845
72,treat_all,60081
72,causal,50266
72,random,47303
73,score,50207
73,random,47133
73,treat_none,45712
73,causal,50207
73,treat_all,59959
74,random,47029
74,treat_all,59946
74,treat_none,45646
74,causal,50018
74,score,50018
75,score,50185
75,causal,50185
75,random,47091
75,treat_all,59949
75,treat_none,45755
76,treat_none,45672
76,treat_all,59620
76,score,49959
76,causal,49959
76,random,47049
77,treat_none,45844
77,random,47206
77,treat_all,59761
77,score,50250
77,causal,50250
78,random,47031
78,treat_all,59748
78,score,49988
78,treat_none,45611
78,causal,49988
79,treat_none,45706
79,random,47109
79,treat_all,59764
79,score,50130
79,causal,50130
80,score,49983
80,causal,49983
80,random,47075
80,treat_none,45638
80,treat_all,59820
81,random,47181
81,score,50167
81,treat_all,59911
81,causal,50167
81,treat_none,45742
82,treat_none,45852
82,score,50205
82,random,47275
82,causal,50205
82,treat_all,59902
83,treat_none,45750
83,score,50109
83,random,47078
83,treat_all,59820
83,causal,50109
84,score,50124
84,causal,50124
84,random,47144
84,treat_all,59718
84,treat_none,45744
85,score,50041
85,treat_none,45606
85,treat_all,59909
85,random,47058
85,causal,50041
86,treat_none,45962
86,treat_all,59979
86,random,47412
86,score,50393
86,causal,50393
87,causal,50094
87,treat_all,60035
87,treat_none,45716
87,score,50094
87,random,47124
88,causal,49985
88,score,49985
88,treat_all,59929
88,treat_none,45609
88,random,47078
89,score,50070
89,treat_none,45715
89,treat_all,60075
89,causal,50070
89,random,47094
90,random,47250
90,score,50141
90,causal,50141
90,treat_none,45791
90,treat_all,60036
91,score,49959
91,random,47016
91,causal,49959
91,treat_none,45614
91,treat_all,59757
92,causal,50336
92,treat_none,45992
92,treat_all,59968
92,score,50336
92,random,47384
93,treat_none,45739
93,treat_all,59829
93,score,50088
93,causal,50088
93,random,47142
94,treat_none,45829
94,score,50207
94,random,47294
94,causal,50207
94,treat_all,59741
95,random,46987
95,causal,50080
95,treat_none,45664
95,treat_all,59840
95,score,50080
96,treat_all,59897
96,random,47056
96,causal,50059
96,treat_none,45676
96,score,50059
97,treat_none,45494
97,treat_all,59798
97,score,49979
97,causal,49979
97,random,46931
98,score,50048
98,treat_none,45696
98,causal,50048
98,treat_all,59861
98,random,47069
99,treat_none,45638
99,causal,49974
99,random,47043
99,treat_all,59659
99,score,49974
100,score,50228
100,causal,50228
100,treat_none,45813
100,treat_all,60054
100,random,47231
101,causal,50004
101,treat_none,45630
101,random,47103
101,treat_all,59903
101,score,50004
102,random,47038
102,treat_all,60017
102,causal,50026
102,score,50026
102,treat_none,45605
103,causal,49919
103,random,46918
103,score,49919
103,treat_none,45524
103,treat_all,59565
104,treat_all,60029
104,random,47323
104,causal,50305
104,score,50305
104,treat_none,45888
105,causal,49955
105,random,46813
105,treat_all,59683
105,treat_none,45437
105,score,49955
106,treat_all,60067
106,treat_none,45795
106,causal,50202
106,score,50202
106,random,47210
107,treat_none,45907
107,random,47322
107,causal,50335
107,score,50335
107,treat_all,60165
108,treat_all,59901
108,causal,49991
108,score,49991
108,treat_none,45561
108,random,46965
109,causal,49917
109,treat_none,45552
109,treat_all,59605
109,score,49917
109,random,46971
110,causal,49891
110,random,46859
110,treat_all,59781
110,score,49891
110,treat_none,45462
111,treat_all,59726
111,score,50047
111,random,47026
111,treat_none,45666
111,causal,50047
112,treat_all,59632
112,causal,49862
112,treat_none,45482
112,random,46860
112,score,49862
113,score,50166
113,random,47149
113,treat_none,45814
113,causal,50166
113,treat_all,59963
114,random,47092
114,treat_none,45618
114,score,49994
114,causal,49994
114,treat_all,60000
115,treat_all,60040
115,score,50156
115,treat_none,45767
115,causal,50156
115,random,47214
116,score,50075
116,treat_none,45724
116,random,47197
116,causal,50075
116,treat_all,59940
117,score,50192
117,treat_all,60085
117,treat_none,45745
117,causal,50192
117,random,47172
118,score,50182
118,causal,50182
118,treat_none,45745
118,random,47175
118,treat_all,59853
119,treat_none,45656
119,causal,49985
119,random,47060
119,treat_all,59763
119,score,49985
120,random,47089
120,treat_none,45657
120,causal,50003
120,treat_all,59956
120,score,50003
121,treat_none,45933
121,causal,50294
121,treat_all,60251
121,random,47386
121,score,50294
122,random,47409
122,causal,50421
122,treat_none,46045
122,treat_all,59992
122,score,50421
123,causal,50114
123,treat_all,59919
123,score,50114
123,treat_none,45786
123,random,47218
124,random,46853
124,treat_all,59615
124,score,49799
124,treat_none,45451
124,causal,49799
125,random,47159
125,score,50137
125,treat_none,45754
125,treat_all,59877
125,causal,50137
126,treat_none,45696
126,treat_all,59855
126,causal,50088
126,score,50088
126,random,47102
127,causal,49917
127,treat_all,59669
127,treat_none,45616
