run_id,treat_none,treat_all,random,score,causal
0,45849,50199,46284,44672,47918
1,45574,49812,45982,44407,47546
2,45791,50142,46232,44706,47815
3,45726,50012,46163,44575,47725
4,45464,49767,45915,44351,47443
5,45609,49925,46069,44513,47702
6,45683,50104,46134,44555,47756
7,45767,50127,46207,44681,47706
8,45705,49995,46150,44562,47664
9,45649,50058,46086,44548,47755
10,45834,50036,46234,44707,47923
11,45733,49926,46188,44625,47748
12,45639,49782,46048,44519,47629
13,45714,49921,46081,44634,47716
14,45593,49966,46006,44515,47586
15,45743,50023,46159,44609,47776
16,45596,50018,45945,44476,47699
17,45770,50114,46206,44669,47759
18,45639,50062,46083,44483,47714
19,45770,50074,46237,44635,47798
20,45699,50029,46177,44551,47709
21,45491,49759,45918,44367,47459
22,45916,50261,46300,44811,47927
23,45812,50152,46256,44689,47779
24,45816,49826,46226,44630,47755
25,45886,50245,46299,44801,47894
26,45778,49856,46229,44642,47769
27,45510,49839,45970,44408,47545
28,45677,50065,46063,44555,47743
29,45689,50015,46126,44603,47695
30,45501,49818,45998,44373,47530
31,45862,50078,46305,44760,47810
32,45805,49985,46232,44662,47781
33,45959,50116,46371,44824,47916
34,45722,49850,46110,44604,47701
35,45966,50113,46430,44819,47932
36,45688,49975,46099,44555,47743
37,45974,50174,46432,44860,47960
38,45752,50067,46174,44670,47748
39,45655,50084,46075,44518,47637
40,45729,49947,46170,44614,47681
41,46102,50216,46534,44955,48067
42,45706,49786,46151,44522,47765
43,45674,49982,46120,44566,47689
44,45807,50062,46266,44672,47766
45,45870,50014,46279,44722,47922
46,45693,50100,46097,44560,47697
47,45683,49982,46061,44578,47708
48,45734,50030,46185,44663,47735
49,45725,50036,46166,44589,47724
50,45660,49848,46031,44556,47646
51,45568,49851,45953,44468,47573
52,45395,49791,45853,44313,47420
53,45688,50074,46093,44554,47703
54,45898,50096,46357,44761,47847
55,45816,49871,46156,44661,47760
56,45653,49871,46062,44488,47658
57,45716,49970,46139,44617,47730
58,45748,50022,46156,44613,47770
59,45572,49810,45995,44483,47507
60,45542,49841,45902,44421,47525
61,45474,49851,45853,44427,47475
62,45543,49895,45962,44476,47595
63,45595,49985,46058,44456,47677
64,45824,49997,46271,44675,47829
65,45614,49889,46024,44469,47593
66,45809,50007,46246,44667,47816
67,45543,50146,46046,44490,47621
68,45752,50098,46223,44628,47763
69,45684,50089,46234,44576,47671
70,45462,49903,45825,44353,47533
71,45806,50016,46301,44725,47810
72,45845,50031,46262,44706,47881
73,45712,50054,46177,44663,47679
74,45646,49870,46021,44514,47568
75,45755,49971,46214,44670,47768
76,45672,50039,46168,44522,47798
77,45844,49912,46245,44720,47863
78,45611,49841,46092,44523,47571
79,45706,49995,46108,44608,47692
80,45638,49839,46069,44497,47657
81,45742,50078,46174,44643,47754
82,45852,50018,46270,44762,47849
83,45750,50073,46207,44656,47736
84,45744,49956,46156,44670,47687
85,45606,49766,46022,44536,47517
86,45962,50211,46390,44843,48049
87,45716,49970,46160,44631,47682
88,45609,49987,46045,44485,47565
89,45715,49965,46148,44590,47756
90,45791,50223,46238,44683,47824
91,45614,49911,46075,44484,47639
92,45992,50102,46379,44847,47944
93,45739,50005,46147,44611,47768
94,45829,50029,46283,44713,47761
95,45664,49981,46067,44543,47615
96,45676,49845,46101,44589,47674
97,45494,49943,45915,44381,47556
98,45696,50111,46157,44611,47683
99,45638,49934,46060,44526,47619
100,45813,50084,46199,44699,47842
101,45630,49806,46076,44513,47646
102,45605,49992,46056,44572,47602
103,45524,49909,46018,44466,47511
104,45888,50183,46313,44762,47932
105,45437,49857,45872,44359,47526
106,45795,50053,46214,44653,47791
107,45907,50184,46309,44784,47921
108,45561,49988,46067,44495,47619
109,45552,50049,46047,44468,47520
110,45462,49916,45865,44395,47504
111,45666,49855,46081,44593,47647
112,45482,49793,45914,44420,47519
113,45814,49952,46183,44668,47760
114,45618,50073,46029,44502,47628
115,45767,49876,46159,44644,47740
116,45724,49902,46157,44637,47693
117,45745,50013,46135,44645,47756
118,45745,50004,46218,44689,47800
119,45656,50055,46054,44510,47650
120,45657,49966,46048,44607,47653
121,45933,50098,46329,44813,47917
122,46045,50229,46426,44917,48080
123,45786,49855,46182,44640,47747
124,45451,49791,45868,44316,47536
125,45754,50065,46214,44627,47769
126,45696,49864,46108,44582,47662
127,45616,49948,46059,44541,47662
128,45681,49856,46037,44603,47664
129,45800,50043,46212,44660,47821
130,45821,50141,46229,44715,47851
131,45537,49891,45972,44433,47530
132,45533,49925,46027,44400,47534
133,45633,50029,46064,44604,47628
134,45645,49926,46052,44516,47664
135,45651,49983,46086,44547,47636
136,45788,50094,46208,44666,47794
137,45638,50049,46117,44553,47620
138,45554,49880,46002,44472,47593
139,45905,50075,46390,44786,47891
140,45725,50086,46167,44641,47752
141,45821,49977,46243,44680,47799
142,45535,49816,45933,44403,47490
143,45495,49844,45956,44413,47523
144,45829,49998,46273,44718,47835
145,45759,50057,46242,44599,47825
146,45664,50097,46124,44541,47792
147,45550,50025,45996,44441,47572
148,45763,49970,46192,44623,47720
149,45392,49885,45860,44316,47456
150,45721,49966,46168,44580,47707
151,45662,50012,46128,44578,47747
152,45771,50136,46183,44631,47803
153,45913,50155,46336,44749,47915
154,45517,49860,46001,44409,47571
155,45579,49843,45956,44463,47555
156,45477,49717,45902,44320,47525
157,45286,49842,45730,44195,47370
158,45663,49872,46062,44534,47707
159,45986,50166,46421,44893,47927
160,45725,50028,46167,44587,47699
161,45594,49989,45989,44502,47668
162,45662,49936,46105,44556,47717
163,45428,49837,45854,44320,47489
164,45751,49981,46147,44628,47744
165,45537,49828,45983,44397,47511
166,45559,49786,45967,44528,47466
167,45714,49760,46137,44576,47747
168,45688,49953,46106,44583,47700
169,45743,50040,46175,44642,47775
170,45605,50006,46034,44507,47606
171,45546,49868,45939,44516,47553
172,45980,50355,46410,44908,47993
173,45878,50250,46336,44797,47868
