run_id,policy,outcome
0,treat_none,45849
0,score,44672
0,random,46284
0,causal,47918
0,treat_all,50199
1,treat_none,45574
1,random,45982
1,score,44407
1,causal,47546
1,treat_all,49812
2,random,46232
2,causal,47815
2,score,44706
2,treat_none,45791
2,treat_all,50142
3,treat_none,45726
3,random,46163
3,score,44575
3,treat_all,50012
3,causal,47725
4,causal,47443
4,random,45915
4,treat_none,45464
4,treat_all,49767
4,score,44351
5,score,44513
5,random,46069
5,treat_none,45609
5,treat_all,49925
5,causal,47702
6,causal,47756
6,treat_all,50104
6,score,44555
6,treat_none,45683
6,random,46134
7,random,46207
7,treat_all,50127
7,score,44681
7,treat_none,45767
7,causal,47706
8,treat_all,49995
8,treat_none,45705
8,causal,47664
8,random,46150
8,score,44562
9,causal,47755
9,treat_all,50058
9,score,44548
9,treat_none,45649
9,random,46086
10,treat_none,45834
10,random,46234
10,treat_all,50036
10,causal,47923
10,score,44707
11,score,44625
11,treat_none,45733
11,random,46188
11,causal,47748
11,treat_all,49926
12,treat_none,45639
12,random,46048
12,score,44519
12,causal,47629
12,treat_all,49782
13,random,46081
13,score,44634
13,causal,47716
13,treat_all,49921
13,treat_none,45714
14,random,46006
14,score,44515
14,treat_all,49966
14,causal,47586
14,treat_none,45593
15,causal,47776
15,score,44609
15,random,46159
15,treat_none,45743
15,treat_all,50023
16,score,44476
16,causal,47699
16,random,45945
16,treat_all,50018
16,treat_none,45596
17,causal,47759
17,treat_all,50114
17,random,46206
17,score,44669
17,treat_none,45770
18,score,44483
18,causal,47714
18,treat_all,50062
18,random,46083
18,treat_none,45639
19,treat_none,45770
19,causal,47798
19,random,46237
19,score,44635
19,treat_all,50074
20,treat_none,45699
20,causal,47709
20,random,46177
20,treat_all,50029
20,score,44551
21,treat_none,45491
21,random,45918
21,causal,47459
21,treat_all,49759
21,score,44367
22,score,44811
22,random,46300
22,treat_all,50261
22,treat_none,45916
22,causal,47927
23,causal,47779
23,treat_all,50152
23,random,46256
23,score,44689
23,treat_none,45812
24,causal,47755
24,treat_all,49826
24,score,44630
24,random,46226
24,treat_none,45816
25,score,44801
25,treat_none,45886
25,random,46299
25,causal,47894
25,treat_all,50245
26,treat_none,45778
26,score,44642
26,random,46229
26,causal,47769
26,treat_all,49856
27,treat_none,45510
27,score,44408
27,random,45970
27,causal,47545
27,treat_all,49839
28,random,46063
28,score,44555
28,treat_none,45677
28,causal,47743
28,treat_all,50065
29,treat_all,50015
29,random,46126
29,treat_none,45689
29,causal,47695
29,score,44603
30,treat_all,49818
30,causal,47530
30,random,45998
30,treat_none,45501
30,score,44373
31,score,44760
31,treat_none,45862
31,treat_all,50078
31,causal,47810
31,random,46305
32,treat_all,49985
32,causal,47781
32,score,44662
32,treat_none,45805
32,random,46232
33,treat_all,50116
33,score,44824
33,random,46371
33,causal,47916
33,treat_none,45959
34,treat_all,49850
34,random,46110
34,treat_none,45722
34,causal,47701
34,score,44604
35,treat_all,50113
35,score,44819
35,random,46430
35,causal,47932
35,treat_none,45966
36,treat_all,49975
36,score,44555
36,causal,47743
36,random,46099
36,treat_none,45688
37,treat_all,50174
37,random,46432
37,score,44860
37,treat_none,45974
37,causal,47960
38,causal,47748
38,treat_none,45752
38,treat_all,50067
38,score,44670
38,random,46174
39,score,44518
39,treat_all,50084
39,treat_none,45655
39,causal,47637
39,random,46075
40,treat_all,49947
