run_id,policy,outcome
0,treat_none,45849
0,score,44705
0,random,46733
0,causal,49644
0,treat_all,54656
1,treat_none,45574
1,random,46430
1,score,44429
1,causal,49360
1,treat_all,54503
2,random,46631
2,causal,49586
2,score,44748
2,treat_none,45791
2,treat_all,54727
3,treat_none,45726
3,random,46680
3,score,44637
3,treat_all,54661
3,causal,49433
4,causal,49171
4,random,46350
4,treat_none,45464
4,treat_all,54374
4,score,44331
5,score,44408
5,random,46437
5,treat_none,45609
5,treat_all,54377
5,causal,49329
6,causal,49397
6,treat_all,54587
6,score,44555
6,treat_none,45683
6,random,46580
7,random,46635
7,treat_all,54633
7,score,44666
7,treat_none,45767
7,causal,49505
8,treat_all,54697
8,treat_none,45705
8,causal,49466
8,random,46538
8,score,44565
9,causal,49399
9,treat_all,54612
9,score,44520
9,treat_none,45649
9,random,46538
10,treat_none,45834
10,random,46745
10,treat_all,54779
10,causal,49509
10,score,44723
11,score,44559
11,treat_none,45733
11,random,46543
11,causal,49535
11,treat_all,54502
12,treat_none,45639
12,random,46459
12,score,44538
12,causal,49325
12,treat_all,54498
13,random,46601
13,score,44588
13,causal,49426
13,treat_all,54644
13,treat_none,45714
14,random,46470
14,score,44503
14,treat_all,54576
14,causal,49370
14,treat_none,45593
15,causal,49518
15,score,44655
15,random,46643
15,treat_none,45743
15,treat_all,54700
16,score,44499
16,causal,49353
16,random,46468
16,treat_all,54495
16,treat_none,45596
17,causal,49577
17,treat_all,54870
17,random,46620
17,score,44716
17,treat_none,45770
18,score,44509
18,causal,49414
18,treat_all,54495
18,random,46527
18,treat_none,45639
19,treat_none,45770
19,causal,49568
19,random,46652
19,score,44635
19,treat_all,54859
20,treat_none,45699
20,causal,49451
20,random,46654
20,treat_all,54700
20,score,44562
21,treat_none,45491
21,random,46395
21,causal,49257
21,treat_all,54544
21,score,44391
22,score,44818
22,random,46830
22,treat_all,54738
22,treat_none,45916
22,causal,49614
23,causal,49472
23,treat_all,54692
23,random,46718
23,score,44691
23,treat_none,45812
24,causal,49542
24,treat_all,54924
24,score,44753
24,random,46717
