run_id,treat_none,treat_all,random,score,causal
0,45849,54656,46733,48470,49644
1,45574,54503,46430,48172,49360
2,45791,54727,46631,48479,49586
3,45726,54661,46680,48365,49433
4,45464,54374,46350,48006,49171
5,45609,54377,46437,48169,49329
6,45683,54587,46580,48308,49397
7,45767,54633,46635,48374,49505
8,45705,54697,46538,48316,49466
9,45649,54612,46538,48231,49399
10,45834,54779,46745,48515,49509
11,45733,54502,46543,48378,49535
12,45639,54498,46459,48205,49325
13,45714,54644,46601,48377,49426
14,45593,54576,46470,48252,49370
15,45743,54700,46643,48352,49518
16,45596,54495,46468,48289,49353
17,45770,54870,46620,48393,49577
18,45639,54495,46527,48280,49414
19,45770,54859,46652,48470,49568
20,45699,54700,46654,48319,49451
21,45491,54544,46395,48200,49257
22,45916,54738,46830,48485,49614
23,45812,54692,46718,48452,49472
24,45816,54924,46717,48471,49542
25,45886,54775,46792,48543,49580
26,45778,54517,46660,48382,49516
27,45510,54376,46314,48136,49214
28,45677,54673,46567,48352,49495
29,45689,54654,46643,48360,49446
30,45501,54263,46409,48100,49188
31,45862,54960,46750,48557,49657
32,45805,54574,46667,48386,49581
33,45959,54834,46788,48536,49739
34,45722,54485,46569,48365,49450
35,45966,54858,46887,48576,49736
36,45688,54605,46554,48356,49462
37,45974,54755,46771,48641,49744
38,45752,54728,46628,48382,49553
39,45655,54764,46513,48240,49369
40,45729,54657,46587,48398,49464
41,46102,54817,46985,48708,49762
42,45706,54640,46665,48319,49462
43,45674,54484,46545,48277,49399
44,45807,54646,46722,48477,49602
45,45870,54783,46681,48503,49537
46,45693,54724,46551,48324,49477
47,45683,54589,46595,48345,49457
48,45734,54557,46639,48337,49480
49,45725,54593,46596,48355,49415
50,45660,54659,46552,48306,49390
51,45568,54561,46464,48183,49328
52,45395,54306,46266,48001,49163
53,45688,54497,46564,48284,49455
54,45898,54572,46774,48505,49583
55,45816,54784,46639,48429,49514
56,45653,54629,46574,48276,49436
57,45716,54648,46614,48404,49523
58,45748,54623,46650,48360,49510
59,45572,54302,46455,48194,49284
60,45542,54436,46427,48140,49235
61,45474,54643,46364,48183,49210
62,45543,54601,46451,48220,49324
63,45595,54581,46431,48187,49349
64,45824,54828,46696,48461,49607
65,45614,54424,46528,48183,49293
66,45809,54642,46628,48472,49526
67,45543,54731,46486,48195,49329
68,45752,54708,46631,48398,49507
69,45684,54502,46598,48304,49393
70,45462,54346,46308,48116,49238
71,45806,54320,46701,48355,49462
72,45845,54722,46797,48490,49608
73,45712,54742,46641,48419,49483
74,45646,54884,46535,48288,49430
75,45755,54529,46586,48387,49430
76,45672,54502,46562,48242,49384
